tweet_id,location,date,likes,retweets,text
1269692995986575360,"San Diego, California",2020-06-07,1154,510,"This is completely wrong. We can assure you that pepper spray contains a number of chemicals, many harmful.

Using pepper spray and tear gas, which cause respiratory problems, during a pandemic is reckless and a danger to public health. Stop it. https://t.co/esEGQRMmMB"
1271266848118501376,"Snoqualmie, WA",2020-06-12,209,83,"The reason we’re still in the first wave of our COVID storm is because we didn’t even get down to flat levels of infection in many states before we began to reopen, and we have no national program guiding our response. Zero leadership at the federal level.
https://t.co/xgmEARHUfx"
1268587750816653312,"Georgia, USA",2020-06-04,99,76,"Analysis: Cases of #RepublicansVirus and deaths doubled as Georgia reopened and testing took off
https://t.co/N4Goxynxdp"
1275968364410699778,"Cambridge, Massachusetts, USA",2020-06-25,91,8,"It's really stunning that every state isn't requiring masks indoors at all places and outdoors where you can't have social distancing. Rhode Island got hammered early on. Now even in a Phase 2 reopening with limited indoor dining, positive testing rates are at 2%."
1269355946477867011,"NJ, USA",2020-06-06,600,90,"1. @zoom_us is the leader in video collaboration today. Many use cases like telemedicine, fitness, education have been force-fitted on top of Zoom due to the pandemic."
1274355044855410690,"New Jersey, USA",2020-06-20,0,0,yah! hug lots of people! kiss them on the mouth! Covid is fake! https://t.co/Qgq6g2wKsY
1276071540157710342,"Ohio, USA",2020-06-25,1441,1461,"The Texas Medical Center, the largest medical complex in the world, is on track to run out of ICU beds tomorrow. They expect to run out of ""sustainable surge capacity"" in 12 days. This is scary. https://t.co/XXWGA4LXqD https://t.co/W4H1EYCpe4"
1270504051264958466,"Brookshire, TX",2020-06-09,5267,666,Cases 👏🏻 don’t 👏🏻 matter 👏🏻 only deaths. Figure it the f*ck out or hide in your house while everyone else is back to normal. EDUCATE yourselves and look at the trend of declining deaths. 7000 people die in American every day NOT from corona. There was 600 deaths due to corona https://t.co/biaFWR75Xu
1274087489917968385,"Washington, DC",2020-06-19,119,34,Covid-shame. https://t.co/OBSLMOWo0P https://t.co/jkVAPQAnau
1275886533619277825,"Seattle, WA",2020-06-24,5070,1473,"Well somebody's gotta do it.
https://t.co/84mByW1UEs"
1270333517323534337,"Pittsburgh, PA",2020-06-09,10547,5811,"Correction: Asymptomatic spread of coronavirus is ""very rare,"" the WHO says. https://t.co/pRihr1ZMxE"
1271826128651550724,"Southlake, TX",2020-06-13,516,93,"Wishing our colleague in the #TNAssembly #Sriperumbudur #MLA Thiru Palani a speedy recovery from the grips of #Covid19 !!!
#getwellsoon"
1271070801899347969,"Las Vegas, NV",2020-06-11,2,1,@VitalVegas @LasVegasLocally You guys see this? 😲 https://t.co/knITCw3m9I
1277634975446134784,"Seattle, Washington, USA",2020-06-29,142282,106145,"heartbreaking signs held up inside of bradley county jail today. inmates are being denied proper PPE (masks, cleaning supplies, etc) and are being forced to use bedsheets as masks. covid positive inmates are housed with healthy inmates. linking petition below https://t.co/qprLe101O2"
1273413263041212416,"Topeka, Kansas",2020-06-18,1,0,@DoctorTro I think it is too soon to make a call. Some states have increase #COVID some have decline
1272677352217157634,"Pennsylvania, USA",2020-06-15,120,124,"Okay since this popped off, here's a thread of fundraisers for help support Indigenous people:
https://t.co/RERuqBXXk9"
1277412713824747521,"Austin, TX",2020-06-29,113,56,"Jazz's Gobert still has neurological damage, three months after his COVID diagnosis https://t.co/5BRVQNmbOV"
1273943845395402753,"Lexington, KY",2020-06-19,54,20,"Without hesitation....I feel great confidence she would have responded powerfully, with integrity, compassionately, and listening to our scientists and medical experts in how to best protect all Americans vs #45LiedAndPeopleDied https://t.co/8EZaFohFgu"
1272366533457698817,"Texas, USA",2020-06-15,83479,41881,"The Navajo Nation now has more covid deaths than 7 states combined. 

7 states."
1276194781484519432,"North Carolina, USA",2020-06-25,1,0,@mkraju It just shows how completely out of touch these politicians are...@RonJohnsonWI before the pandemic were you holding townhalls? Honestly do you really know or care what your constituents want?
1271044254505320450,"Ocean City, MD",2020-06-11,1149,243,"When did the first wave end?
This is more like walking a trail through rising hills: initial approach, sudden steep climb, then a plateau, then a gentle declivity, now another climb https://t.co/57guJf4DbT"
1277311610151817217,"California, USA",2020-06-28,937,389,"Trump’s response to the coronavirus?
“Let me play golf.”
#EndTheNightmare https://t.co/7AvM86BtGm"
1271719549793185792,"Atlanta, GA",2020-06-13,112423,27384,"On the fourth anniversary of Pulse.
In the middle of Pride month.
During a global pandemic.

Donald Trump's cruelty truly knows no bounds. We have to defeat him this November. https://t.co/YAy4ZGxxyD"
1276365705970139138,"Manhattan, NY",2020-06-26,3,1,Extremely niche tweet for rural Washington but The Coug is taking Covid-19 more seriously than @LorenCulp https://t.co/QcIslfQACR
1275312690743750658,"Las Vegas, NV",2020-06-23,449036,135970,The reason why America isn’t recovering from COVID-19 as quickly as other countries is because we are a country that values individualism over collectivism. Nobody here wants to do anything that is a minor inconvenience to them in order to protect their neighbors.
1275046939545890817,"Las Vegas, NV",2020-06-22,0,0,Players slam Djokovic tournament after 2 players test positive for COVID-19 https://t.co/gKkzp57iFg
1277182475853234177,"Gettysburg, Pa",2020-06-28,925348,139672,"This is the first year I’m not going to Fiji because of COVID-19. 🥺

Normally, I do not go because I am poor."
1272371905182330880,"Las Vegas, NV",2020-06-15,243812,207581,"they’re being gassed, exposed to corona virus, raped by staff, sitting in their own pee &amp; shit, children going “missing”, &amp; so much other horrible things. no matter what ur views on illegal immigration is, u shouldn’t be ok with is. they’re fucking kids. https://t.co/tf5klU34sd"
1272223608354594816,"Illinois, USA",2020-06-14,2232,637,"I’m in South Carolina right now. Restaurants only have outdoor seating, but there’s no social distancing between tables, everyone is crammed on top of each other. 

And nobody is wearing masks anywhere, in shops, restaurants, you name it. Not even the wait-staff."
1277988164402122753,"Denver, CO",2020-06-30,218,19,"Ian Desmond wrote powerfully today on a myriad of important topics from covid to BLM.

What did you think of his statement and decision to step away? https://t.co/U6LvPGqwZr"
1271497020742623242,"Los Angeles, CA",2020-06-12,0,0,Says during covid they offended the vending program by only offering 50 permits out of 450 to street vendors and they recognize that street vending community has been hit hard by covid-19
1272611776245518346,"Pittsburgh, PA",2020-06-15,11,4,"Many companies pivoted during COVID-19. Take a look at how previous Ascender incubation companies @nollapelli, @Knotzland, @firstsipbrewbox and @WeAreMinding have adapted during the pandemic: https://t.co/21vNyeSz7s"
1271545126121140224,"San Francisco, CA",2020-06-12,0,0,Thrilled that #ringcentral is part of the solution.  Learn more: https://t.co/lW08Vwh7uh https://t.co/SOBG6g0NFR
1271073137514381313,"Richmond, VA",2020-06-11,2,2,".@NOAA has predicted an ""above-average"" Atlantic hurricane season. 

But neither evacuation, which moves large numbers of people from threatened regions to safer ones, nor traditional sheltering fit neatly into COVID-19 social distancing guidelines. https://t.co/x1xzf7DL2l"
1269517661643386880,"Charlotte, NC",2020-06-07,105438,61019,"Trump visits the coronavirus swab production line in Maine, without a mask, and the manufacturer says it will now have to throw away the day’s output.  https://t.co/gq1lo4LD9t"
