tweet_id,location,date,likes,retweets,text
1343584785365676033,"Rock Hill, SC",2020-12-28,4276,1584,Very important statistics to keep in mind when discussing COVID-19. https://t.co/hai3NEC3wR
1334844143810588674,"Kansas City, MO",2020-12-04,0,0,Ray of sunshine 😎. Happy Friday! https://t.co/KDStLApEjv
1333950353486848002,"Alabama, USA",2020-12-02,2283,264,"MARY BONO, 87 of Plymouth Meeting, PA died of COVID on May 27.

""Mary was born in Poland during WWII who as a child, saw the horrors of the Camps after being taken by the Germans.  She was a strong, loving, and kind woman, considering what she experienced.""

Sent by her daughter. https://t.co/i3wouUxXI2"
1341515089359343617,"Dallas, Texas, USA",2020-12-22,2240,1933,"Texas AG Ken Paxton urged White House to revoke Harris County COVID relief over mail ballots
https://t.co/71xHElASyA #hounews"
1339873341188915200,"Santa Cruz, CA",2020-12-18,4661,1220,"If we taxed billionaires on their $2 trillion dollar gains from their pandemic profiteering, we could literally pay for the country to get monthly stimulus checks until vaccines are adminsitered."
1333758027522949123,"Oregon, USA",2020-12-01,0,0,States with few coronavirus restrictions are spreading the virus beyond their borders – Raw Story https://t.co/BuDGnAQi8Q
1339646649270902784,"Las Vegas, NV",2020-12-17,0,0,Reliable COVID-19 test could reduce virus spread https://t.co/HC4VSXX2G4
1336788447747428352,"Davis, CA",2020-12-09,70,5,I am still waiting for the LA Times to apologize for platforming Joel Kotkin's by-then-but-especially-by-now debunked race science and density thoughts on COVID-19. https://t.co/EBdcjlNCa0
1333811038102417408,"Fort Worth, TX",2020-12-01,717,575,"SCOOP: @kloeffler stands to gain financially if her husband's company, Intercontinental Exchange, succeeds in exploiting pandemic conditions to expand its hold on the digital mortgage business. Please read and RT. 
https://t.co/XkgF097PSB"
1334485809999847424,"Sandusky, OH",2020-12-03,3,2,A California sheriff who refused to enforce the state's mask order now has COVID-19 https://t.co/NWUOJj4zQ8
1334539314982760448,"Evanston, IL",2020-12-03,1989,543,"Los Angeles has followed universal masking, closed indoor dining, bars, outdoor dining, had curfews, never opened movie theaters or theme parks or had fans at sporting events

And none it mattered. Because none of those things work. And yet no one in power will ever admit it. https://t.co/tZM6vvQ82x"
1337526789208481792,"Chicago, IL",2020-12-11,0,0,First time I feel compassion for COVID https://t.co/PVfvvVEHKf
1344185290089406466,"San Jose, CA",2020-12-30,1,0,YAAAAAAS!!!! https://t.co/0E0LEqlCyQ
1338130934466572289,"South Carolina, USA",2020-12-13,55,38,"SC has 3,000 Covid-19  cases per day for the second day in a row.

When @henrymcmaster coined the term #AccelerateSC I doubt he intended to accelerate this. The question now is whether or not he is capable of changing course w his policy.
We're dying while waiting for leadership. https://t.co/Bhta7iFOYr"
1337062908996558850,"Vero Beach, FL",2020-12-10,1,0,What to know about holiday travel policies during COVID-19 https://t.co/KPfO8dqaAp
1342579453436694528,"California, USA",2020-12-25,335,80,"The pandemic exacerbated a hidden hunger problem in the state where 1 in 8 are now hungry, up from 1 in 11 before COVID-19 @FeedingAmerica https://t.co/6b2hhPcxEM"
1341528876938387458,"Española, New Mexico",2020-12-22,4,3,"The counties reporting the most cases Tuesday include: 

302 new cases in Bernalillo County
171 new cases in San Juan County
140 new cases in Doña Ana County https://t.co/Ys09VIPL97"
1335747708318052352,"Tubarão, Sc",2020-12-07,277,62,fico imaginando a festa que estaria na Neo Química Arena se o Covid não existisse
1344332747054178305,"Houston, TX",2020-12-30,2343,699,"$600 stimulus 

Average person works 260 days per year

$600/260 = $2.30 per work day of work

Average person works 8.8 hrs per day 

$2.30/8.8 = .26 cents per hr 

Government believes average worker is worth .26 cents per working hr during a pandemic"
1334340762708873217,"Mount Morris, New York",2020-12-03,36,2,"But, I thought #ACAB, right? Isn't law enforcement just the goon squad of American white supremacy (redundant)? Have we forgotten last summer already? If this is OK, can we get Paw Patrol and Live PD back? https://t.co/i5lEdLdlpT"
1344109032726876162,"Los Angeles, CA",2020-12-30,101861,24851,"THE ACTUAL MATH! Just so we’re clear, Congress could send each American $2,000 EVERY MONTH UNTIL MAY 2021 for less than the cost of the two early Congressional Corporate Covid Handouts. This is not about money. It’s about greed and hurting people. McConnell &amp; the GOP want this."
1342147475558322177,"Euless, TX",2020-12-24,0,0,Covid-19: why vaccine mistrust is growing | The Economist https://t.co/zcXAq1PDmQ via @YouTube
1337184158901157888,"Glendale, AZ",2020-12-10,348,77,"Arizona.
First in Covid. Last in education. 
This state desperately needs new leadership. https://t.co/qiOklCRa7d"
1344384156512497665,"McAllen, TX",2020-12-30,0,0,No! You were wrong?! You completely unempathetic nitwit! https://t.co/rQs0CjVRPY
1344508093304950784,"Vancouver, WA",2020-12-31,21381,1333,"Jim died on Tuesday. He was 86. He was my last living grandparent. His health was going downhill for several years, and at the end, he was Covid-19 positive. I guess that makes him another one of the faces behind the numbers you see on the screen every day."
1337435989908852737,"Quincy, IL",2020-12-11,59,28,"Stocks open lower on Wall Street, extending their losses for the week, as efforts to provide badly needed aid to those affected by the coronavirus pandemic remain stalled in Congress. Energy companies and banks had some of the biggest losses. https://t.co/fCuSokMv7o"
1338178629465944067,"Austin, tx",2020-12-13,0,0,"The ""we already live in a death cult so let's have some more death"" approach to the pandemic https://t.co/CSaHjH4Rbq"
1344244602476273666,"New York, USA",2020-12-30,0,2,"WHO says the coronavirus pandemic might not be the ''big one'' that experts have long feared: ''This pandemic has been very severe,'' WHO emergencies chief Mark Ryan said. ''It has affected every corner of this planet. But this is not necessarily ... https://t.co/EGt3G41Fwi"
1335750484695556098,"Bakersfield, California",2020-12-07,1,0,"Shipments of the coronavirus vaccine developed by American drugmaker Pfizer and Germany's BioNTech were delivered Sunday in the U.K., two days before it goes public in an immunization program that is being closely watched around the world.
https://t.co/w65njkpUNK"
1338582096688918531,"Tennessee, USA",2020-12-14,1550,696,"Bloomberg: A White House official who fell ill with COVID-19 in September lost his right foot and lower leg in his battle against the virus. He's recovering after three months in the hospital, according to a friend.
https://t.co/W27GYianhK"
1339814443539152897,"Washington, DC",2020-12-18,14974,3873,"Tucker Carlson delivered an anti-vaccine rant tonight, which I will not tweet, encouraging millions of people not to trust the COVID vaccine.

It’s not complicated: This kind of misinformation will kill people.

Any corporation that advertises on Tucker Carlson is complicit."
1339213151850688518,"Virginia, USA",2020-12-16,1,0,"All the “experts” telling us that we need to lockdown, such as @BillGates, can afford to sit in their giant house for months on end!"
1344327412079677440,"Los Angeles, CA",2020-12-30,10808,3592,A history of the Trump covid response in four acts. https://t.co/OwoBtOY5ur
1339805583193427969,"Olympia, WA",2020-12-18,0,0,For my family! #WearADamnMask https://t.co/QpLTZEchGu
1338143909071958016,"Raleigh, NC",2020-12-13,45,17,"This is what happens when you let the government decide who is ""essential.""

This is criminal.

https://t.co/KzaLfvNvc7"
1339743200018239491,"California, USA",2020-12-18,3198,657,"Millions are struggling to survive while a pandemic is raging.

Lawmakers should:

- Extend eviction moratoriums
- Make vaccines free
- Provide survival checks
- Extend the UI supplement
- Pass paid medical leave
- Give essential workers hazard pay
- Cancel student &amp; medical debt"
1342931362265718784,"San Diego, CA",2020-12-26,1,0,You are a buffoon. You’ve had since May to find a package you could deal with and you’ve done nothing until now don’t act like you care https://t.co/zK2gh6ZRKA
1341953921187803136,"Dallas, TX",2020-12-24,45320,6945,"Harden crazy lol.. he acts like Silver gonna be like 
“oh she was becoming a boss? Why you ain’t say that?? You good” https://t.co/yvnn5qLsQo"
1339759010468274177,"Minneapolis, MN",2020-12-18,20810,1838,"Sorry to get so emotional on TV, but the lost of my father is still so painful.

My condolences to the hundreds of thousands of people who lost loved one to COVID.

Accountability is long overdue for Trump’s failures.

My father was convinced he be safer in the US and he wasn’t. https://t.co/3cS9oBBDKh"
1337449264750977027,"Lake James, IN",2020-12-11,73036,11150,"This is insanity.  Let small businesses control their fate not the government.   So many decades of blood, sweat and tears destroyed without even giving people a chance to fight.   Scary that basic freedoms we took for granted can just be taken away by a few politicians. https://t.co/lag5D7AbMb"
1340819501907128321,"Orlando, FL",2020-12-21,4,2,"Congress first slow walks this Covid Relief bill for months and until after the election.

Then passes another $900 billion which averages out to $9000 PER FAMILY and they are giving us $600?! 

First they steal our vote, now they steal our money. 
#StopTheSteaI"
1344012833839845379,"Boise, Idaho",2020-12-29,203506,32320,Raise your hand if you’re more concerned about losing your Constitutional rights than you are about Covid
1334507360513998848,"Tempe, AZ",2020-12-03,520,128,"3) That said, others point out that vaccines might offer better stronger immunity than natural infection. https://t.co/SuCYrhAjT5"
1335104744575152130,"High Desert, USA",2020-12-05,15231,2014,Covid is the first disease to have an anti-vaccine movement before it had a vaccine. We're not out of the woods yet.
1341080067368124418,"Utah, USA",2020-12-21,0,0,@sltrib I enjoy the Jazz but this is obscene. To play in a bubble during pandemic. Values???
1334456618944258050,"Rhode Island, USA",2020-12-03,0,0,"@AiddonValentine @JoeBiden Yup. I'd expect someone who doesn't get combative when you suggest closing the schools to prevent the spread of a deadly pandemic, at the very least."
1342676629064183809,"San Antonio, TX",2020-12-26,1,0,'You can't give up.' Man fighting COVID-19 in desperate need of double lung transplant https://t.co/IPKnN1Osgw
