location,date,likes,retweets,text
"Minnesota, USA",2021-06-29,162,37,"Laurie Garrett, author of The Coming Plague, joins #TWiV for a wide-ranging discussion of infectious disease and public health, including emerging infections, the role of wildlife markets in spillovers, and missteps in handling the #COVID19 pandemic https://t.co/L28Clrr5kf https://t.co/MCt1yCuWy3"
"Chapel Hill, NC",2021-06-13,206,55,Only a shithole country treats sick people like this. https://t.co/ChL8xGtIEv
"New Orleans, LA",2021-06-17,45207,8669,Just for laughs... from last year's lockdown when all I did was wipe tings down 🧽😂 #HappyAnniversaryObsessed https://t.co/EAgqlZZJpA
"Boca Raton, Fl",2021-06-13,1180,592,"Johnson is said to be worried about 'hospitalisations'

We all pay 1,200,0000 NHS staff £350,000,000 per day to run the NHS for us.

It has over 140,000 beds in over 1,250 hopsitals.

Today just 1,058 of those beds are occupied by 'with Covid' patients

What's the problem? https://t.co/skaKMSyjeC"
"Chicago, IL",2021-06-27,204,153,At least 9 million Americans thrown out of work by the pandemic didn’t receive any unemployment benefits (via @sdonnan &amp; @readep) https://t.co/YfihPwAATq https://t.co/5a8t7KYPTC
"San Antonio, TX",2021-06-28,13439,12672,"1/3  Christopher Bailey was an essential worker during the pandemic, he got pulled over on his way home from work. No warrents! No weapons! The traffic stop turned into a 7 on 1 beatdown!   (blow this one up please!) https://t.co/YBE8ZaAxjG"
"Birmingham, AL",2021-06-21,1,0,"@L_A_Perry Just had a friend who was vaccinated in April ,followed all protocols and caught Covid 3 weeks ago. Was sick for two week felt awful cannot taste. not in hospital. Be careful out there"
"DFW, USA",2021-06-23,0,0,https://t.co/UBvSnsG0mf
"Sunman, IN",2021-06-11,12,7,"At the June 10th Board Meeting, the Board approved the Return to In-Person Instruction (IPI) Plan.  It is posted online and can be found on the COVID-19 webpage.  More information including a parent letter will be sent via School Messenger on June 11th.  
https://t.co/j9ww29X9Ig"
"Lincoln, NE",2021-06-14,6,3,"⬇️⬇️⬇️ Take a look at this important brief from @CCSSO. Especially as schools and school districts consider how they are going to spend ESSER Funds. Make sure social studies doesn't get left out! As a subject, it is a critical component for student achievement. https://t.co/yB3PRMJpkB"
"Redlands, CA",2021-06-15,0,0,@ElevenCC_Bot @doloresquintana @GavinNewsom how ab you stay home for being ignorant
"Boston, MA",2021-06-13,1,1,"Much better place than last year this time, but notice some of the states newly starting to rise then are the same we're seeing now.

https://t.co/2E6T8BHLiu"
"Tennessee, USA",2021-06-02,4474,864,Everything about this pandemic has been bullshit. Every single thing.
"Harrisburg, PA",2021-06-08,60,15,"All the while, they ran air cover for Biden’s indiscretions, Hunter, Antifa, BLM, China, COVID research funding, Fauci, Swalwell, corrupt politicians.

Stop being nice. Stop pretending your friends and family who have abandoned you are just “lost”.

Get tough. Get off your butts."
"Allentown, PA",2021-06-16,5801,1867,"Only in America can you be
Pro-Death Penalty
Pro-War
Pro Drones
Pro-Nukes
Pro-AR-15
Pro-Torture
Pro-insurrection
Pro-Child Separation
Pro-involuntary migrant hysterectomy
Pro-POTUS who blows off a pandemic
Pro-POTUS who lies to you in a pandemic
&amp;
still call yourself ‘Pro-Life.’"
