location,date,likes,retweets,text
"Toledo, Ohio",2020-07-02,2,1,"COVID-19
Needle felted and wet felted.
ArtPrize piece for 2020 which has been canceled.
How my lungs felt in February.
2ft x 1 ft x 2ft https://t.co/O0AMUfQFGi"
"Texas, USA",2020-07-20,50723,6224,If we’re united then stop calling it the China Virus you racist fuck. 🖕🏽 https://t.co/8XHCUGsy30
"California, USA",2020-07-27,7373,913,"I just red pilled a large group of protesters, doxed myself, got them them to follow my work, and bounced out real quick 

Goodbye Portland. See you soon, dressed differently, but with the same camera to expose the darkness and reveal the truth 

Headed to the DC to cover COVID"
"Baton Rouge, LA",2020-07-22,243850,55647,"""the government has no business making me wear a mask"" i say before i buckle my seatbelt, drive the speed limit to a restaurant built to code, eat food made in a state inspected kitchen, receive the heimlich maneuver from a waiter who learned it from a mandatory workplace poster,"
"Texas, USA",2020-07-15,2054,1011,Wow. Looks an awful lot like the New York Times ran a made up story about a man who died of coronavirus and is now trying to cover it up.  https://t.co/v2riH7RkH7
"New YorK, NY",2020-07-10,3,0,"Save NYC compost! Contact @NYCCouncil members &amp; ask them to vote for a budget including $7 million for #composting. Keep The Compost Project and Grow NYC Zero Waste Program composting site/ facilities and environmental education resources alive! 
#OneNYC #0x30 #ClimateAction .  . https://t.co/OQgy3YlZQx"
"California, USA",2020-07-14,0,0,"One of the dumbest stupidest evil things I've read on Twitter today . . . besides the SHIT 45 and his asslickers tweets. Also, fortunately the board of education down there doesn't have the final decision. https://t.co/cUMeot5G1j"
"Woodway, TX",2020-07-13,1304,859,"Sen. Cornyn as Texas reports 550 child cases: 'We still don't know' if kids can get, transmit COVID https://t.co/nQRMBW1DTf"
"Salt Lake City, Utah",2020-07-29,18819,5733,"Republicans are using pandemic relief as cover to shovel billions to defense contractors while providing less unemployment insurance, ignoring a looming evictions crisis, and not doing enough to aid state and local governments.

Even by their own standards, this is obscene."
"Detroit, MI",2020-07-26,243259,52042,Covid 19 following y’all home after the kickback https://t.co/imyge9LNql
"Miami, FL",2020-07-04,1592,246,What we are witnessing is a bunch of racist white people who would rather die of the coronavirus than see Black people treated as equals.
"Arizona, USA",2020-07-27,225233,67273,USPS being intentionally sabotaged in a global pandemic a few months before an election is absolutely not a coincidence.
"Pennsylvania, USA",2020-07-27,1,0,@MaisonDeUnicorn @RBReich Should not give him what he wants. We should save it and kick his ass at the polls. He WANTS to be able to declare a state of emergency and postpone elections. Wish the protesters would refuse to give him what he wants and-STAY HOME! He is playing them.
"Plymouth, MA",2020-07-29,7301,1702,"The coronavirus does not care that we are divided. The coronavirus will not care if Washington Democrats decide it suits their partisan goals to let relief run dry.

The American people are hurting and Congress should have their backs."
"Nashville, TN",2020-07-30,27994,6098,"Dr. Birx on Fox: “if the governors and mayors of every locality right now would mandate masks for their communities and every American would wear a mask, and socially distance, and not congregate in large settings ...we can really get control of this virus...”"
"Concord, CA",2020-07-26,74588,11895,"It’s the weekend. So yes, I will repeat this again:

WEAR A MASK."
"Brooklyn, NY",2020-07-17,894,113,"@GovAndyBeshear And for the ‘you can’t control me’ crowd, the gov already controls almost everything and you quietly submit to their authority every day. The only people you’re hurting by refusing to wear a mask are human beings. Families. The elderly. You’re not proving anything to politicians."
"Bostonian living in SoCal, USA",2020-07-10,5,1,"@jessamynit @rgay Oh, this isn’t a one-off, and age can’t use covid as an excuse. She has made brown-skinned people look ashy/flat af for forever!"
"Big Island, Hi",2020-07-29,0,0,Don't shut these doctors down https://t.co/dBCBcUk0b9
"Pittsburgh, PA",2020-07-06,33,18,Thanks to @PGuggenheimer and @TribLIVE for highlighting the work of emergency physicians and the health care system in Western Pennsylvania in response to Covid-19 #COVIDー19 https://t.co/c9JBImSfKp
"Portland, OR",2020-07-07,0,0,@KBittermanGross @NuckolspPaul @TeresaShank5 @CBSNews Could suicides be up as a result of 50 million+ Americans  lost their jobs? Or because 1/5 of all Americans have had to love since the pandemic started? Or what about those who offer themselves after they had loved ones die?
"Florida, USA",2020-07-26,16293,4552,"At every turn, President Trump has made matters worse for our country as we seek to fight the coronavirus. Instead of denying facts and trying to rush our children back to school before it is safe, he should be supporting the policies found in the #HeroesAct. @FaceTheNation https://t.co/sXSqCpFjje"
"Riverside, CA",2020-07-12,62070,23595,me cuz covid is ruining everything https://t.co/Ev9Um0pXm8
"Seattle, WA",2020-07-18,198906,51315,"The CDC is literally saying if we wear our masks, the virus can be controlled by September and here’s Bozo suing the City of Atlanta after Keisha made masks mandatory."
"Atlanta, GA",2020-07-16,293054,107473,Watching other countries recover from covid while my country thinks its a political stunt and we gotta start all over again https://t.co/PDTkd7ZPaZ
"St. Louis, MO",2020-07-05,0,0,"@RexChapman Even in a non-Covid time, I wouldn't be caught near that germ stew."
"Memphis, TN",2020-07-19,13140,7091,"“Gavin Newsom of California was told that if he wanted the federal government to help obtain the swabs needed to test for the virus, he would have to ask Mr. Trump himself — and thank him.” https://t.co/vzAMXEJRsX"
"Gulf Coast, USA",2020-07-05,4800,358,I wear a mask because: I respect myself and even care about the assholes.
"Fairfax, VA",2020-07-18,0,0,Vote him out! #Election2020 #Biden2020 https://t.co/T8j4lEEKXG
"Pennsylvania, USA",2020-07-13,3477,1481,"Listen to that sniffing, that’s the drug addicted Donald I know, belligerent and drug-addled. This dude is capable of killing millions without batting an eye and you have all the proof you need of that already. @realDonaldTrump https://t.co/IVb8JFq3ZN"
"San Marcos, TX",2020-07-09,2,2,"Early voting is currently underway in #HaysCounty for the July 14 primary runoff election amid rising cases of #COVID-19, prompting polling places throughout the county to take precautions to keep voters and poll workers safe. https://t.co/JiD2obuze7"
"Springhill, La",2020-07-17,0,0,"“What would be the primary purpose of inflating C19 numbers?
Who benefits the most?
Pro-America v Anti-America.
Infiltration.
All assets deployed.
Election not virus.
Q” https://t.co/dPEJ8hbamL"
"Alexandria, VA",2020-07-12,4772,3496,"Florida reported the largest single-day increase in positive coronavirus cases in any one state since the beginning of the pandemic, with 15,300 new confirmed cases. https://t.co/jLFe0KCWl3"
"St Pete, FL",2020-07-13,0,0,"@realDonaldTrump RT!!  The White House has taken the unusual step of attacking a member of its coronavirus task force, by providing a document to several media outlets that contains a list of comments made by Dr. Anthony Fauci in an effort to damage his reputation.  https://t.co/fDQ3CnvLRe"
"Manassas, VA",2020-07-21,287,107,"Trump is now all for masks and social distancing, claiming he’s never fought either one — but his track record doesn’t lie https://t.co/zVLgcudKg6"
"Stark County, Ohio",2020-07-15,159494,34549,"I have covered 7 Presidents. I have never seen a POTUS use the Rose Garden or any White House platform to launch a  political attack against his opponent for reelection, a campaign rally barely disguised as a faux news conference.  All during a pandemic and a recession"
"Berkeley, CA",2020-07-29,265,15,"just sinking in that a major American city just killed a major transit system during a pandemic while regional highways are being widened and fire season is on the way

sorry, we’re fucked, this is fucked"
"Atlanta, GA",2020-07-10,10,5,To the people in Phoenix waiting 12 hours to get a test for COVID. I walked in to FastMed in Tucson and got done in an hour.
"Austintown, OH",2020-07-07,12402,2901,"It was never a Pandemic...

It was a Plan/Demic"
"Marana, AZ",2020-07-03,195,56,"Birthdays don’t stop while social distancing -- so these firefighters found a way to help kids celebrate. Celebrate stories of #joygivers in your community and @lays will donate $50 to @FeedingAmerica, up to $1 million #ad https://t.co/3Mw3IpB4qj"
"New York, USA",2020-07-18,417,129,"A former State Department colleague said of Trump’s infamous bleach comment with Birx sitting by him. ""It's one thing to be disagreeing on policy, but you're a medical doctor and you're going to sit in room with this President who says you can inject yourself with bleach?” https://t.co/fvH3eE1NuT"
"North Carolina, USA",2020-07-28,87094,34847,"I just crossed the 4 month mark of being sick w' #COVID19. I am young, &amp; I was healthy. Dying is not the only thing to worry about. I still have a near-daily fever, loss of cognitive function, essential tremors, GI issues, severe headaches, heartrate of 150+, viral arthritis, 1/"
"Hockessin, Delaware",2020-07-13,353,138,"LOS ANGELES PUBLIC SCHOOLS WON'T OPEN IN FALL AMID WORSENING COVID-19 CRISIS, SUPERINTENDENT SAYS"
"Clearwater, FL",2020-07-03,14476,3903,"Dear @realDonaldTrump: Can you please focus? You are the President, not a TV Guide reviewer. Over 128,000 Americans have died from #COVIDー19, and today we set a record of over 53,000 new cases.

Please lead by example and mandate masks &amp; social distancing at your rally tomorrow. https://t.co/anYg3N3l8X"
"San Francisco, CA",2020-07-01,490074,85196,Shaming people for being on unemployment? in the middle of a pandemic? at your big age???????
"Baltimore, MD",2020-07-25,14408,8915,"Insanity. Local television stations owned by Sinclair Broadcast Group are set to air a conspiracy theory over the weekend that suggests Dr. Anthony Fauci, the nation's top expert on infectious diseases, was responsible for the creation of the coronavirus. https://t.co/ZaNdiBtEoO"
"Valparaiso, Indiana",2020-07-05,3127,128,Start with every hike in LA. You’ll make millions. https://t.co/E7q52kPUXv
"Austin, Tx",2020-07-10,310,103,"COVID-19 is a public health official's ""worst nightmare,"" Dr. Fauci, the nation's leading infectious disease doctor, says. https://t.co/DtywSFupJF"
"Sugar Land, TX",2020-07-20,447,27,Penn Student Whose Day Job Has Been Virtue Signaling About Social Distancing While Living With Parents In Small Town (Against Their Will) Moves Back To City With Friends And Seemingly Deems Distancing No Longer Necessary
"Rochester, MN",2020-07-09,0,0,"Keep #HOPE alive... that is the title of this month's article written by our Parish nurse Kathy. Check this faithful article to raise your hope &amp; learn about Bethel's re-engagement instructions: https://t.co/6oQsp8cdXB

#StaySafe #Covid19 #BethelLutheranChurch #RochesterMN #Faith https://t.co/5yyapM7YmQ"
"Atlanta, GA",2020-07-31,185,138,At least 3 Gwinnett County schools employees test positive for COVID-19 ahead of school start https://t.co/vezHiIs69S
"Ca, Co, NY, Fl, Ak, USA",2020-07-08,1,1,Joe Biden has an actual plan for handling COVID-19 – https://t.co/4QOx37fQJp https://t.co/NrzFBfcsyB
"Brooklyn, NY",2020-07-12,43265,13462,"Don’t let this feel normal. 

It’s nuclear grade bananas to have White House staff sending reporters opposition research on their own top infectious disease doctor in the middle of a worsening pandemic that has already killed 130,000."
"Grand Rapids, MI",2020-07-27,12479,6605,"Eight more players and two coaches with the Miami Marlins have tested positive for COVID-19, as an outbreak has spread throughout their clubhouse and brought the total of cases in recent days to at least 14, sources familiar with the situation tell me and @JesseRogersESPN."
"Xenia, OH",2020-07-28,4159,1139,DO YOU PERSONALLY KNOW ANYONE THAT DIED FROM COVID?
"Merced, CA",2020-07-17,5,3,"As the number of young adults infected with the coronavirus surges throughout the nation, a new study by @ucsfchildrens researchers indicates that youth may not shield people from serious disease. @jadoleshealth https://t.co/PESjo4whzj"
"Houston, TX",2020-07-18,150,53,".@FireChiefofHFD mentions if Houstonians are seeing businesses defy Governor Abbott’s order, please call 311 to report. #COVID19"
"Virginia, USA",2020-07-15,57,53,"JUST IN: Virginia reported more than 1,000 new COVID-19 cases today. Cases are up more 300 per day on average compared to 2 weeks ago.

Nearly 500 cases were in Hampton Roads.

- 136 new cases in Norfolk (record)
- 144 new cases in Virginia Beach
- 62 new cases in Chesapeake https://t.co/z4TRHr59zb"
"Brooklyn, NY",2020-07-06,80986,10764,"A mask weighs less than an ounce.

It’s not a heavy lift — wear a mask."
"Atlanta, GA",2020-07-05,0,1,@BearsLoveRugby Corona Roaches
"Baltimore, MD",2020-07-22,371,83,"He has been called an alarmist. Fauci: ""I characterize myself as a realist."" //  Thank you for being real and calling it like you see it. https://t.co/h8lUqvn6WO"
"Detroit, MI",2020-07-22,9606,4818,"MIT engineers designed an affordable, reusable face mask that's as effective as an N95 — take a look. https://t.co/UEy1kgCwzS"
"Atlanta, Ga",2020-07-30,30144,12728,"Bill Gates, Magic Johnson, Greta Thunberg and Sean Penn have been designated as experts on a certain pandemic by the mainstream media, but medical doctors such as myself are censored when discussing scientific studies.

Does anyone know when the First Amendment was nullified?"
"Cleveland, OH",2020-07-14,230201,34464,y’all raised tuition during a pandemic https://t.co/p4RUNHgmWs
"Skokie, IL",2020-07-01,121,67,Be the hero Illinois needs! Wear a face covering to protect you and your loved ones from COVID-19! https://t.co/jU1nnKqz8m
"Seattle, WA",2020-07-10,1070,135,I do every minute of every day https://t.co/KvZQgOSBBG
"Carmel, IN",2020-07-20,0,0,Trump said more Covid-19 testing ‘creates more cases.’ We did the math https://t.co/3X4JcF8xrM via @statnews
"Weatherford, TX",2020-07-07,15,12,Maddow reveals pleas from doctors: ‘We’re fighting two wars — one is coronavirus and the other is stupidity’ https://t.co/gSWSxxhsSk
"Las Vegas, NV",2020-07-17,12,3,Tune into @8NewsNow TONIGHT at 6:30 p.m. as I'll be discussesing the current @lasvegasweekly cover story: #LasVegas locals describe their bodies’ grueling battles with COVID-19. Read more here: https://t.co/lw424twK74
"Sin City, NV",2020-07-05,1355,218,"Remember when Fox News and right-wing mumbo-jumbo slingers were screaming about ""political correctness"" and ""the PC police""? Now it's ""cancel culture."" It's all the same. It's all stupid. Ignore it.

Ignore Kanye. That's stupid too.

Just vote. Wear a mask. Bring back sanity. ✊"
"Brooklyn, New York",2020-07-19,2088,738,"FACT: It is 100 degrees in the Arctic.

FACT: 2 billionaires hoard more wealth than half of our nation’s population.

FACT: The corrupt duopoly bailed out the ruling class &amp; left the working class to die during a pandemic.

Those FACTS are supposed to radicalize you.

Wake up! 🌹"
"Los Angeles, CA",2020-07-21,69137,11956,The President has dementia. That is why he takes tests for dementia.  He brags about doing well on dementia tests. That is a sign of dementia.  Letting tens of thousands of people die and not being concerned is also a sign of an unwell man.  He needs to go.  Immediately. https://t.co/dl5uFFcxsL
"Phoenix, AZ",2020-07-17,89234,15794,"Explain to me how you could live through the COVID19 crisis and not support Medicare for All.

There’s no doubt that in any just and decent society COVID testing, treatment &amp; vaccines (when we have one) should be free."
"Buffalo, NY",2020-07-03,1,0,Die for me https://t.co/eQNmTRiMz7
"Arizona, USA",2020-07-12,14,12,Reminder that Kate is using her fear-mongering and blatant false statements to fundraise. https://t.co/o3FgJU6vb4
"Simi Valley, CA",2020-07-17,157,41,"“I want to commend the @CAgovernor for his leadership and for his focus on prioritizing public safety during what might be one of the most challenging experiences we will face in our lifetime.""

- @TonyThurmond on the new school guidance document: https://t.co/lFWb1fNDkq https://t.co/rjo0t3Xbn3"
"Las Vegas, NV",2020-07-30,244901,58852,"I just moved to Miami &amp; have to get a COVID test/quarantine for 2 weeks before school, which is fine. I was asking where the best places to get tested were &amp; one of them SERIOUSLY said “oh you can pay for a fake negative test &amp; you wouldn’t have to quarantine. Tons of ppl do it”"
"Middleton, WI",2020-07-11,0,0,#Weekbyweek #COVID cases in #Indiana #COVIDIOTS #coronavirus #reopen #fail #spike #TrumpVirus  https://t.co/57919oyfAx https://t.co/LjnK8EsOpa
"Los Angeles, CA",2020-07-25,193992,89238,"DEATHS FROM COVID-19
South Korea: 297
United States: 140,000+ https://t.co/4H3yF2VRqj"
"San Diego, CA",2020-07-31,1427,780,"This is why I have urged people for months to keep their children home.

#NotMyChild
#KeepYourChildHome

COVID Hits USC Students And Faculty Hard As Virus Spreads To Younger Population https://t.co/hHUtj8Sgbz"
"Miami, FL",2020-07-26,7499,3378,"“‘Everyone in the media was saying FL was going to be like NY or Italy, &amp; that hasn’t happened,’ DeSantis said in April 

The # of cases in FL now eclipses NY by more than 3,300. FL has 168k more cases than Italy, a country w/about 3 times the population” https://t.co/PQYH1acn4u"
"Indiana, USA",2020-07-27,97800,9881,"Honestly the second worst thing about the president attacking me on twitter — after the sad statement made about his focus and how wrong he is about the pandemic — is that I didn’t even know it happened until 3 hours later. No one called, no one emailed. It’s just noise"
"Louisiana, USA",2020-07-18,2,0,Praying https://t.co/1yS4ahRjPt
"Florida, USA",2020-07-07,3,4,"#Atención Tras meses subestimando a la enfermedad, desalentando las medidas de cuarentena y congregándose con sus seguidores, Jair Bolsonaro confirma que dio positivo para covid-19. https://t.co/e1JthNr1H0"
"Miami, FL",2020-07-27,176569,43163,America for no reason with the toilet paper when the pandemic first started https://t.co/l3vnshpxrz
"Connecticut, USA",2020-07-01,2050,977,"If experts were to conduct a detailed, thorough investigation into the US response to Covid, such as those done by the NTSB for airline crashes, what would be the conclusion?

""This was a preventable catastrophe.""

Read this piece by @jamesfallows. https://t.co/8vA5yTStWr"
"Tyler, TX",2020-07-16,0,0,YOU SHOULD KNOW: Kroger to require all customers in all locations to wear a mask starting next week. What you need to now: https://t.co/Rr7AZiEGMZ
"Seattle, WA",2020-07-30,0,0,I don't think that way. He probably had kids and grandkids that loved him. https://t.co/Q7q24GfhwC
"Prescott, AZ",2020-07-10,1,1,@MayorGallego keep fighting the fight! https://t.co/V3hp6mNMGk @dougducey #covid19 #AzCovid #texasisrunnerup
"California, USA",2020-07-19,0,0,I am very okay with a lock down because it is looking like no one will wear a mask when out in an effective manner when completing tasks that require them to be around multiple people.
"Virginia, USA",2020-07-13,30,15,"Oregon is in, too - online learning for its schools: California, Oregon roll back reopenings as new coronavirus cases surge https://t.co/zvXUV2ZQfj"
"Largo, FL, USA",2020-07-31,442635,125661,You can't say covid-19 is so safe we can reopen schools then turn around and say it's too dangerous to have an election.
"San Leandro, CA",2020-07-16,1,2,"Something 4 your next kids &amp; #COVID19 story 
@lisamkrieger
@HelenBranswell
@AnneKFlaherty
@apoorva_nyc
@jameshamblin
@jilltucker 
@AdriannaUSAT 
 54k Florida residents &lt; age 18 tested. Stunning 16.7K or 31% positive https://t.co/ilqEI2uwup reported in https://t.co/OtmS5mfhSa"
"Sacramento, CA",2020-07-02,1,1,Is Outdoor Dining Actually Safer? Experts Weigh In https://t.co/kWyPnPaojU https://t.co/qW1YosMPVN
"Brooklyn, NY",2020-07-15,29951,4602,All COVID-19 vaccines and treatments must be free to all. Period.
"Phila., Pa/Orlando, FL",2020-07-14,25012,6037,This could be us but the president went golfing instead. https://t.co/9wiadn4X85
"Wheatland, PA",2020-07-07,0,0,"The @PressSec is not wrong here folks...
- Leader in cases 
- Leader in deaths 
- Leader in replication rate 
- Leader in spread 

- Leader in stupidity https://t.co/hAlIxVLQqz"
"California, USA",2020-07-29,615,304,"Louie Gohmert has an opponent in November: 
@Hank4Texas https://t.co/UN6wS0cjzX"
"York, Pennsylvania",2020-07-16,0,0,"I am so sorry to hear about Mr. Woolery's son, and hope he does well in his treatment.

Mr. Woolery is still a chucklehead, and this can't change it, though. https://t.co/rjiCGMH4t2"
"Florida, USA",2020-07-28,0,0,Lord please don't let me run into any thic demons... https://t.co/8paKycRHRN
"Nevada, USA",2020-07-14,2478,737,"The Big Apple is being led by a Bad Apple. 

The Mayor needs to be removed ASAP. 

I'm glad the city is able to celebrate no new COVID-19 deaths, but that positive story is being overshadowed &amp; poisoned by the huge spike in shootings &amp; other crime. https://t.co/ZEVoKrKdYo"
"Las Vegas, NV",2020-07-22,12311,3517,My favourite part of Canada's Covid response is our government officially recommends using glory holes for sex 👍 https://t.co/XsyJJgxhFS
"Illinois, USA",2020-07-17,234,61,"The awful truth is that across the nation, Black &amp; Brown Americans are disproportionately affected by this deadly pandemic. Proud to join my colleagues in introducing the COVID-19 Bias and Anti-Racism Training Act to help improve care for communities who have been hard hit. https://t.co/RDYCck2wmU"
"New Jersey, USA",2020-07-28,0,0,#WhiteCoatSummit https://t.co/KhT3RTDBGY
"Austin, TX",2020-07-02,65956,28365,The trillion dollar question. Why are COVID cases increasing while deaths are decreasing? The answer is simple. It's called Simpson's paradox and it's the result of incorrectly pooling data and arriving at a false conclusion. A thread 1/9 #COVID19 #ThursdayThoughts
