location,date,likes,retweets,text
"Long Beach, CA",2021-07-23,0,1,COVID: Three states are seeing about 40% of the country’s new cases https://t.co/zC9Vna6x4T
"San Diego, CA",2021-07-04,2,0,"@WomanNFT Minted this 1/1,  3 weeks ago because of covid. https://t.co/42GPPdmV9P"
"Clifton Park, NY",2021-07-26,20,12,"#DTR podcast Ep.362: @JKBOGEN w/o @TheAlexisKraft Darrell Henderson takes over the #Rams backfield &amp; Tutu Atwell gets placed on COVID list. 

#sponsored by @manscaped
#presented by @NitecastMedia

LISTEN: https://t.co/lv86fx0mhl https://t.co/kbt2oVXK0k"
"BreghCity, USA",2021-07-02,678407,91293,this was the most insane stage of the pandemic https://t.co/44fIpXixWE
"Louisiana, USA",2021-07-08,0,0,"@Jake9538 @Quicktake If it wasn't for these people being incubators for virus variants, I would be 100% in favor of them not getting vaccinated. They currently make up over 99% of all Covid deaths. It's natural selection. Everytime one goes, the country gets a little more Liberal."
"Springfield, IL",2021-07-15,2,3,@LALATE @BillPascrell @JeromePowellPPT @POTUS @RepRichardNeal @VP #SSI #SSDI @HouseDemocrats @SenateDems @RepJayapal @WhiteHouse @HouseFloor @SenateFloor #RRB #VA #SB $2K/Month: Pandemic 😷 + 2 years #Reconfort #monthlystimuluschecksnow #directdeposit #nursinghomes https://t.co/NuSylowlYx
"Puget Sound, Washington, USA",2021-07-20,0,0,"@AmyAThatcher Shucks Amy, I am an asshole, and I got the vaccine.  I want to rub the dumbasses and ammosexuals noses in the Covid problem."
"New Hampshire, USA",2021-07-18,15633,3268,History will not look fondly on Republican lawmakers and pundits who spewed lies about COVID-19 in order to score political points while thousands of people died.
"Denver, CO",2021-07-28,0,0,Yes https://t.co/CZmX6YXUSI
"Northern California, USA",2021-07-31,2,2,Vaccines work. THIS needs to be the message more than the click bait news stories about breakthrough cases. https://t.co/0hSmjvhFep
"3600 Route 66, Neptune, NJ",2021-07-06,0,0,"Will the post-Covid world include a 4-day workweek? As Kickstarter tests it out, some predict it will catch on. #COMPASSStaffing #staffing #recruiting https://t.co/5JnvEm7FMU"
"New York, NY",2021-07-15,243,86,"Despite profound progress in the 1980s, the world has seen an alarming drop in vaccination rates during the pandemic.
 
To help children grow up healthy and free from disease, governments must invest in health services now. 
 
#VaccinesWork https://t.co/PDN1DJsNLE"
"Burleson, TX",2021-07-20,0,0,"Bill Gates- and George Soros-Backed Organization Buys Out COVID-19 Testing Company

https://t.co/r6ChP4q2lK"
"Tempe, AZ",2021-07-08,1,1,"The Hospital @ISM® Report On Business® found patient volumes and mixes returned to pre-#COVID19 levels in June, but the pandemic still influenced facilities’ inventories. The Hospital PMI™ was 63.1%, up 1.8 percentage points. https://t.co/10JvjCTVIU #ISMPMI #economy #healthcare"
"Los Angeles, CA, USA",2021-07-13,29,7,Wow 🔥🔥🔥🔥 https://t.co/t3BoITfrYz
"Detroit, MI",2021-07-08,4,1,NEW: from @crainsdetroit @dustinpwalsh https://t.co/6gnn4v8UXO
"Queens, NY",2021-07-29,4823,2706,"BREAKING: Florida reports 16,038 new coronavirus cases, the biggest one-day increase since January, and 92 new deaths"
"Seattle, WA",2021-07-15,21,24,"A report recently released by @TheHumaneCenter documents the #COVID19 threat posed by #mink farming and the dangerous conditions in which mink are kept on these farms.

It's time to relegate this cruel industry to the dustbin of history. 
https://t.co/GjYMSBNt29"
"Washington, DC",2021-07-20,2,0,Our senior fellow and @McCourtSchool colleague @NoraEGordon describes how the #CovidRelief aid flowing to public schools is 12X bigger than federal Title I investment. https://t.co/B2iaeau4EG
"Blacksburg, Virginia",2021-07-15,6965,2534,"Around 300 people are hospitalized with Covid-19 in New Jersey, and ALL of them are unvaccinated!
#GetVaccinated"
"Washington, DC",2021-07-08,9233,768,"BREAKING: Athlete finds that people disagree with her views, is puzzled https://t.co/73qVmbQMrZ"
"Alabama, USA",2021-07-30,20732,3601,"Your kids now have to wear a mask at school. If it’s even open! 

Thanks, Joe Biden."
"Henderson, NV",2021-07-30,117,96,"She lost BOTH LEGS AND HANDS after the 💉💉. We have to remain steadfast family

https://t.co/zuCdq6Rpmf"
"New Jersey, USA",2021-07-16,0,0,"Citing falling college enrollment during the pandemic, the Education Department has made temporary changes to its financial aid process so that students from low-income families face fewer barriers when applying for aid. https://t.co/8Wf3c6cCYm"
"FL, USA",2021-07-09,4,1,"In a world of vaccinated and being a breeding ground for Covid,  be Vaccinated!"
"North Liberty, IN",2021-07-02,2,0,"@SJDJ @STEPUPphysics Sarah, they were a surprise so we didn’t pick anything. I wish my hair looked as good as my minifig right now, haven’t seen my regular salon since COVID."
"Washington, DC",2021-07-22,43,16,"Prime Minister Scott Morrison has said he is sorry for delays in the vaccine rollout after repeatedly resisting pressure to apologise. 
https://t.co/X59jZmxrhK"
"Bensalem, PA",2021-07-16,2546,870,"BREAKING: More than 5 billion people still have no access to vaccines against COVID-19. Most live in poverty in low- and middle-income countries in Africa, Asia, and the Americas. https://t.co/ORKx6P6lfW"
"Issaquah, Washington",2021-07-28,47,10,"You know what's really important about this... Not a single one has had ""safety"" issues with the vaccine so far. Which is less than the number of players *hospitalized* last year

Maybe... Just maybe... All the nonsense they were hearing about vaccines was just that.. Nonsense https://t.co/GLX40aZlrz"
"Georgia, USA",2021-07-21,25,9,"There are many reasons Georgians are saying ""Yes"" to the #COVID-19 vaccine. Discover your reason to “Say Yes” and schedule your appointment or find a walk-up location at https://t.co/1S6dlnmGtk https://t.co/DBYVkAMN6o"
"Ohio, USA",2021-07-29,52116,12394,I’m ready today. https://t.co/2lnAlIi9oh https://t.co/ofLrPfVlK8
"Alexandria, LA",2021-07-23,0,3,"Gov. Edwards says LA now has the highest COVID-19 case growth rate per capita in the nation. More than 1,000 COVID-19 patients are hospitalized in the state. He says the latest spike is driven by the delta variant and the large number of people who are unvaccinated. https://t.co/d2FnGwsK6j"
"Jambalaya Bayou, Mississippi",2021-07-07,4036,1529,Some of Portland's famous food carts that survived the pandemic restrictions &amp; nightly antifa riots are now closing anyway as crimes continue to soar after police were defunded. Full report: https://t.co/iEJowTy625 https://t.co/H90KfXEsG0
"New York, NY",2021-07-22,1,0,"A Dyke A Broad #40, by @kellyatlarge https://t.co/oWHMCOZ4l7"
"Salinas, California",2021-07-09,161,80,"NOAA: Eight billion-dollar weather and #climate disasters have struck the U.S. so far this year, including the February deep freeze and an April severe weather outbreak. Read the full update here: https://t.co/quwZMpnDQj #StateofClimate #BillionDollarDisasters https://t.co/eeQIYtWzZz"
"Tennessee, USA",2021-07-24,0,0,"Unvaccinnated players may face $14,650 fine from the league every time they violate COVID-19 procedures  https://t.co/nsOUOJqMB4"
"Serfing, USA",2021-07-18,42,11,Censoring information only makes me want to share it. https://t.co/8Z3pfvWTqX
"Alexandria, MN",2021-07-22,66487,13089,"The NFL just informed clubs that if a game cannot be rescheduled during the 18-week season in 2021 due to a COVID outbreak among unvaccinated players, the team with the outbreak will FORFEIT and be credited with a loss for playoff seeding, per sources. 

Massive implications."
"Texas, USA",2021-07-17,1,0,"@PabloHippo Take me for instance, I haven't changed anything and I still haven't got it. 
I wonder what the statistics, of getting covid without the shot???
I think it might be 90% or higher"
"Virginia Beach, VA",2021-07-28,482670,76493,Shit got a release date https://t.co/XkBW9Unq5i
"Dulvey, Louisiana",2021-07-30,1,0,@ItzSamsquanch @getFANDOM So? Doesn’t matter if there’s a pandemic. Her contract did not include Disney Plus OR the pandemic. They refused to renegotiate when she asked and they are obligated to fulfill that contract. This isn’t about you getting to see the movie sooner. This is about business.
"Los Angeles, CA",2021-07-21,4689,1638,I was the reporter who asked this question after listening to Rep. Greene downplay the impact of COVID-19 on young people &amp; those who aren't obese. I asked if she feels any responsibility to people in Georgia to protect them. She said the responsibility is their own. https://t.co/lKmOC4s9bx
"California, USA",2021-07-13,0,0,Biden Admin Slammed for Saying Cubans are Protesting COVID Deaths Rather than Freedom - Trump Train News https://t.co/2wmtRUW2Ya Biden is defending the Communist / Socialist dictators in Cuba.
"South Carolina, USA",2021-07-21,0,0,@VERBAL_CHANCLA @idkred3 PC = Pre Covid = How we refer to everything before 2020 (a throw-away year) 😬
"Haymarket, VA",2021-07-26,1895,148,"I’m at ground zero in Louisiana for this Delta variant.
I’ve been fully vaccinated but I’m overweight, have diabetes and cancer, and I’m 73 years old.
I’m afraid, I’m thinking seriously about going back into voluntary lockdown.
I see it as my possible only means of survival."
"Brooklyn, NY",2021-07-30,0,0,😭😭😭😭 I knew I wasn’t the only person that noticed that https://t.co/MnDCNlS4Wk
"Columbia, SC",2021-07-23,0,1,'It's a living nightmare': Woman gets vaccinated following family's battle against COVID https://t.co/mejILJLtel
"Arkansas, USA",2021-07-29,0,1,AR Youth in Foster Care Eligible for Pandemic Relief Payments https://t.co/F2s7QAP5PR https://t.co/TulCje64uo
"Phoenix, AZ",2021-07-30,0,0,"@Nat4Democracy https://t.co/Wa9SYkgxam
#vaccinated #vaccine #covid #covid19 #GOPDeathCult https://t.co/FpiIbSNDsO"
"Tennessee, USA",2021-07-11,21471,4398,"Just saw this now.  Notice the lie here.  Implication is that those 5900 died from the vax.  They didn’t.  Lies for cash and fame, leaving a trail of destruction. https://t.co/17jiHez8RX"
"Maine, USA",2021-07-31,1,0,"This is so sickening! I tweeted a long time ago that one of the mutations that grow from the MAGA nonvax crowd would become a variant that would kill their own children and that until they started losing them, they wouldn't change. It seems we are well on the way here. SHAME! https://t.co/mxRNaJemDb"
"Phoenix, AZ",2021-07-20,27720,5910,"Imagine if 50 GOP state reps skipped work, drank beer on a private jet while ignoring federal mask mandates, held a press conference to spread flagrant lies that’ve been debunked, and then infected the Speaker’s Office and White House with COVID. Just imagine.

#TexasDemocrats"
"Provo, UT",2021-07-13,954,437,"Because sometimes Democratic congressmen need to ride shirtless on camels through Qatar during a pandemic on trips funded by special interest groups. (And yes, we have the photos.)

From @leonardkl and me: https://t.co/dnTQ8RRHeP"
"Delaware, USA",2021-07-02,52,2,"Five years ago today...a beautiful restaurant on the Hudson that sadly didn’t survive the pandemic. Hopefully with sunset views like this, some great NYCity entrepreneur will refill the space. Just don’t tax and regulate the entrepreneurial spirit out of the city! https://t.co/91WbPXHjMr"
"Los Angeles, CA",2021-07-18,0,0,@originaldirtdog @HildaSolis @ThisWeekABC @CountyofLA https://t.co/OTJVDqjAe2
