location,date,likes,retweets,text
"Houston, TX",2021-07-15,10,1,🤦🏾‍♂️🤦🏾‍♂️🤡 https://t.co/XEtiIfIjcw
"Illinois, USA",2021-07-15,564,143,"For the first time in nearly 16 months, Illinois has gone a full day without losing a resident to COVID-19. https://t.co/bTCd0MOkyH"
"Virginia Beach, VA",2021-07-28,1,0,https://t.co/0L4IHNGf1t https://t.co/SyALORs5jp
"Tucson, AZ",2021-07-22,2595,276,This is the Cole Beasley Rule https://t.co/Pmr4eRrXLA
"Missouri, USA",2021-07-21,0,0,@joshschisler @SDECoxHealth The other hospital https://t.co/N0ZNVSMNgp
"Phoenix, AZ",2021-07-21,4654,1473,"The Biden administration is contributing to the spread of #COVID by releasing illegal aliens — against the law — into our communities.

And it’s driving up the number of COVID cases in Texas. https://t.co/1HRAg4snam"
"Oregon, USA",2021-07-26,12,1,"COVID, Influenza, and the Plague all coming back to wipe us out once and for all https://t.co/VG0yUzW8UM https://t.co/ll4NxgSh3C"
"Minneapolis, MN",2021-07-31,8145,4901,"BREAKING: Florida has reported 21,683 new cases of COVID-19, the state’s highest one-day total since the start of the pandemic, according to new federal health data. The state has become the new national epicenter for the virus. https://t.co/j5RVccwMPA"
"Iowa, USA",2021-07-23,3,1,"Oh my gosh! I can't believe that about @KLoeffler! Surely there were extenuating circumstances! Can you clear this up for us, Karen? https://t.co/xG8YPCstM7"
"Jackson, NJ/PSL, FL",2021-07-02,473,44,"Government: This lead COVID to seemingly come out of nowhere, and the fatality rate to be way higher than expected.

Us: Why the hel-

Government: In the midst of that panic, we locked you down, causing immeasurable social and financial devastation.

Us: You're monsters."
"Boynton Beach, FL",2021-07-30,4,0,@EDog_501 @disneyglimpses You actually wrote this and urge others to think critically? If you honest review you will see zero correlation between mask mandates (or even mask compliance) and transmission rates. None. https://t.co/9e8RH3xdSo
"Mobile, AL",2021-07-19,0,0,@AnnSchurman @NewDay @brianstelter Can you prove they got it in Texas? And Texas COVID numbers are lower than most
"Seattle, WA",2021-07-07,6041,1679,"The Delta variant now accounts for more than half of all new infections in the US, per the CDC."
"New York, USA",2021-07-05,263,38,"""the former president’s actions during COVID, particularly his failure to quickly pivot when it became evident things weren’t as Team Apocalypse would have us believe, renders him undeserving of another term."" https://t.co/U6vyEH4cD1"
"Frisco, TX",2021-07-18,105,39,"The Treasury Secretary says Delta COVID variant is “a risk” to the recovery, is worried about low global vaccination rates and says we could see lockdowns again in the US in low vaccination areas. https://t.co/PWb0bNZwVR"
"Pembroke pines Florida, USA",2021-07-22,4240,1436,"Gain of function Fauci funded the Wuhan Institute of Virology, lied about it to Congress, and the media is letting their patron saint get away with it.

#FauciLiedPeopleDied"
"Brooklyn, NY",2021-07-28,19459,1614,"My 8 year old boy is sick with a 103 temp, cough, and sore throat. 

We are waiting in a covid/isolation waiting room waiting to be seen and swabbed. 

I'm so sick of this Covid shit. As a nurse. As a mom. Just sick of it."
"Wilton Manors, Florida",2021-07-07,1,0,If only there was something the unvaccinated could do…. https://t.co/XPgxVxtnat
"San Francisco, CA",2021-07-16,2037,582,"Hi @pdoocy -- you probably want to read up on this thing called Google. It could've helped you figure out that the finding about 12 accounts being responsible for the majority of Covid misinformation comes from a widely reported study, not the White House https://t.co/CInOhz9taN https://t.co/l9uHDe6rSg"
"Arkansas, USA",2021-07-23,7292,1814,"Listen to what she is saying…  she really doesn’t give a damn about you, your family, and your communities.  

P.S.  I bet she is fully vaccinated! https://t.co/d2gjCaVyo4"
"Zanesville, OH",2021-07-14,36338,8838,"They're now, like, pro-polio? https://t.co/T0yckoy5N0"
"Little Rock, AR",2021-07-23,24,3,That’s the problem what type of lockdown did Arkansas have?  What the hell a curfew do? Not a damn thing. Like you can catch covid only at night 😂
"New Orleans, LA",2021-07-24,0,0,Can someone explain to me why people are so pressed about getting the vaccine when you could still get covid? I never understood that
"LaLaLand, MA",2021-07-28,1,0,@antijenic https://t.co/VQe8KFujOl
"Long Island, New York",2021-07-23,9,1,Really? Do theze morons really realize they've been lied to by the pundits at Fox News??? I seriously doubt they really do! @DJZJCZ @sharon_kk @newenglandgrl @Wilson4Cindy @Tait1Kathy @Debra_McGill @Erasergirl1 @SamfromSpain @FRGRQueensgirl1 @A_Badassunicorn @JEACARD @MoolachArd https://t.co/r6PZuVBQWn
"Florida, USA",2021-07-25,2472,825,"""Recovered #COVID patients also displayed increased immunity against common human coronaviruses as well as SARS-CoV-1. [Those] who survived COVID19 are likely to also posses protective immunity even against SARS-CoV-2 variants.""
https://t.co/yIpvse2zJM https://t.co/U3noTiA0oR"
"Nevada, USA",2021-07-29,2,0,"Um, no it’s not. https://t.co/4enCl0oD7O"
"Kansas, USA",2021-07-27,0,0,@kcur please do a story on the current state of pediatric ICU beds at children’s mercy. So many schools are debating a mask mandate and don’t agree on the statistics. What’s really going on with kids and covid?
"interstate5 ca, or, wa",2021-07-20,0,0,They are vaccinated anyways. They may be carriers like you. https://t.co/Z6fUiDd1Fp
"orlando, fl",2021-07-31,0,0,#time to #stay home
"El Paso, Texas",2021-07-16,485,207,"▶️ Hoy alcanzamos #70Millones de vacunas contra #COVID19 en México🇲🇽 con el embarque de @AstraZeneca.

Detrás de esto está el esfuerzo que mujeres y hombres realizan —y continuarán realizando— para abastecer al pueblo de 🇲🇽 y así lograr la recuperación pospandemia. https://t.co/dNd93ycb1a"
"Minneapolis, MN",2021-07-26,13,7,"“It’s like you canceled because of a grass fire and now you’re going to hold them in a forest fire."" - Michael Osterholm, SPH Regents Professor 

@mtosterholm @CIDRAP 

https://t.co/eJqkcMiwpN"
"Baton Rouge, LA",2021-07-22,964,473,COVID is never leaving because mfs who don't even have a Primary Care Physician know more than medical professionals and scientists. Might as well get used to that
"Washington, USA",2021-07-16,0,0,@CBSNews Everything about that spending bill is disturbing! Bankrupting generations of Americans. Penalizing parents who want to stay home with their kids. It’s a communist manifesto.
"Ohio, USA",2021-07-02,11076,1332,Thanks to every single member of the #BBNaija Lockdown gang for such a brave run. Definitely won't be forgetting this bunch in a hurry 🙏🏾 https://t.co/Txoem4ICZ5
"California, USA",2021-07-04,2032,93,"@hwinkler4real You mean, like a pandemic?

https://t.co/BEtGZ7VXq5"
"St Louis, MO",2021-07-12,23447,4847,"the headline: 'PANDEMIC PETS' BEING RETURNED TO SHELTERS IN RECORD NUMBERS AS OWNERS GO BACK TO WORK

the article: muskellunge county animal shelter reports a 5% increase in surrender rates as eviction moratorium ends"
"Southeast, Virginia, USA",2021-07-02,11834,2797,"The CDC is reporting that 99.5% of recent COVID-19 deaths are from the unvaccinated.

We may not agree on politics but please, get vaccinated. 💉"
"Madera, CA",2021-07-19,8332,1915,"Dems say asking for photo ID is ""racist!""  Biden says it's Jim Crow.  But before I had my China Virus vaccine, I had to show my photo ID.  So, are you now telling me the vaccine is RACIST?"
"Bay Area, CA",2021-07-16,1,0,This makes it easier for our college to provide a level of comfort (and consistency) for students and faculty/staff as we prepare for the Fall Quarter. https://t.co/U6BpRjWMjS
"Brooklyn, NY",2021-07-02,87410,36449,"For My Indonesian Friends

Mengobati Covid di Rumah

Gunakan tab parasetamol untuk demam. Budesonide inhaler dua kali sehari. Semprotan hidung Oxymetazolone untuk hidung tersumbat.

Tidak perlu antibiotik, ivermectin, seng, atau steroid"
"Martinez, GA",2021-07-09,1,0,Newly surfaced emails show Fauci's agency gave grants for bat coronavirus research to US-Chinese scientists; Wuhan lab scrambled to find disinfectant https://t.co/soP5qkbEAK
"San Diego, CA",2021-07-03,0,0,"@NRSC You claim: you couldn’t protect us from COVID, you couldn’t protect the economy, you couldn’t protect the border,then you said you couldn’t protect my vote. Tell me again why I should vote for you?"
"Florida, USA",2021-07-26,14836,1985,I don’t mean to be a far right lunatic or some sort of conspiracy nut but why should you be forced to get a Covid vaccine if you’ve had Covid and have natural antibodies? Are we at least allowed to ask that question? I look forward to sensible responses here at Twitter dot com.
"Leesburg, VA",2021-07-27,13802,2526,"In simple terms, because the critical care beds are full of ill Covid patients (who tend to have a slow recovery), there are no beds for the heart attacks, the major traumas, the septic patients…I could go all day."
"Boston, MA",2021-07-07,30391,13326,"BREAKING: Japanese government declares state of emergency in Tokyo due to coronavirus, just 2 weeks before the Olympics"
"Chicago, IL",2021-07-09,886,113,Put your masks back on. Those who refuse to get vaccinated are breeders of mutations that are even stronger &amp; we’re all apparently having to pay. What these selfish morons don’t get is they’re gonna be forced to wear their masks again like everyone else… if they live long enough https://t.co/WeIv8fFFFe
"St Louis, MO",2021-07-23,0,0,"@BadCOVID19Takes How many people are gonna have to die from Covid , for the R's to take it seriously ? 
The R's want to win relection even if it costs the lives of you and your family ."
"New York, USA",2021-07-14,0,0,People waiting to fill up empty #oxygen canisters outside a factory in Mandalay yesterday amid SAC genocidal coup and surge of Covid-19 cases in Myanmar.  #July14Coup  #WhatsHappeningInMyanmar https://t.co/6ySyo4Fjah
"Miami, FL",2021-07-19,520465,68133,"if this photo isn’t included in the COVID section of future history books, we’re doing it wrong https://t.co/4H2cWbdtOr"
"California, USA",2021-07-09,622,271,"""The overwhelming majority of those testing positive in the county are unvaccinated, representing 99.96% of all new infections"" https://t.co/VNIz0wiRCB"
"California, USA",2021-07-21,1,1,@Kevin_Faulconer Really? I feel safe under the governor…but I remember when I did not go to San Diego East Village because of the Hepatitis A epidemic that you took years to address.
"California, USA",2021-07-19,7515,1160,Thank you Steve Doocy for telling the truth. https://t.co/dpGo3oXSG6
"Chicago, IL",2021-07-04,1,0,"#Ad: The song, I'M REDEEMED by Trisha Clifton is a Declaration of Salvation created during the pandemic to encourage &amp; uplift. Trisha� is a 28 year vet, lead Singer &amp; Songwriter of The CHICAGO MASS CHOIR https://t.co/CeX079A19Q -  - #NowFaithful #clkeysmusic #ChicagoMassChoir https://t.co/mxiJcXwojI"
"New Jersey, USA",2021-07-19,22,19,"“The findings suggest that regulatory approval, even under an emergency use authorization, for COVID vaccines was premature and that widespread use should be halted until full long term safety studies evaluating prion toxicity has been complete.”

Holy shit

h/t @Undergroundsar3 https://t.co/e8GW1FPQNA"
"California, USA",2021-07-28,16342,12522,"#DeltaVariant surging in U.S. New data show Delta much more contagious than previous versions of #COVID19. Unvaccinated people: get vaccinated &amp; mask until you do. Everyone in areas of substantial/high transmission should wear a mask, even if vaccinated. 
https://t.co/tt49zOEC8N"
"Philadelphia, PA",2021-07-26,74,6,"LETS GOOOOOOOO

Jon Allen at 18 AAV is a steal. Lockdown a pillar of both the defense and the locker room culture.

Budding star, best player on the defense last year imo."
"Atlanta, GA",2021-07-23,0,0,Move along. Nothing to see here. https://t.co/JARNoEA8zN
"Colorado, USA",2021-07-31,171,63,"21,000 new Covid cases in Florida.  A record!  

Is this the best time for DeSantis to defund schools that require masks?"
"Wisconsin, USA",2021-07-29,0,0,@dropbombs55 @Spiderperson123 @kriser_p @Lebeaucarnew @BowTiedGopher @ScottAdamsSays https://t.co/zkXFQurdgY
"Atlanta, GA",2021-07-01,4155,2090,"NEWS: When House Republicans voted against the Rescue Plan, at least 10 of them voted to defund their own police departments. 

via @NBCNews 

https://t.co/Lr9F34qQo9"
"Memphis, TN",2021-07-18,394,155,"I wrote about the lethal anti-vax movement and the people who are promoting it for @BusinessInsider. 

https://t.co/tTL0dPl1U6"
"Dallas, TX",2021-07-23,0,0,"@GehlkenNFL Dak Prescott is a horrible leader for a 💩 team. In a world full of Dak Prescott’s, be a Baker Mayfield. Jeez https://t.co/Wmzp5oTIOu"
"Texas, USA",2021-07-22,251,45,"Btw those food shortages that are starting to happen in supermarkets, with little blurbs in the newspapers about people panic-buying because of covid...

Covid is a global pandemic, other countries are fine.... they dont want you to know its being caused by Brexit."
"New York, New York",2021-07-19,10,2,"Special level of dumb here: not their job to protect anybody. So: get rid of meat inspectors, bank insurers, FDA, CDC,  FBI, DOJ, local police, and yes, the Army, Navy and Marines. Too easy of course. His pt is: let ppl be stupid if they want, clearly his employer’s position. https://t.co/gZtnvIj8lk"
"Palmdale, CA",2021-07-17,29910,2054,"99% of all hospitalized Covid cases are unvaccinated people and bc of y’all now we gotta mask up again in LA. 
You suck eleven thousand vaginas."
"Utah, USA",2021-07-29,10624,4560,"🧵THREAD🧵

We’ve all seen the various flip-flops of the CDC and Dr. Anthony Fauci over the last 18 months. 

To help keep track, I present “Fauci vs. Fauci,” chronicling the twists, turns, contradictions and backtracks from the man and his agency.⤵️"
"Seattle, WA",2021-07-12,3496,467,"Ok @twitter @jack she needs to be banned, she is as bad as Trump. People are dying. https://t.co/kizlXsYcwE"
"NorCal, USA",2021-07-30,113,31,@GovRonDeSantis Orlando just lost a 12 million convention Aorn a nurses convention backed out because Florida is becoming a covid epicenter
"Kansas, USA",2021-07-30,0,0,"You, Senator, should be at least as embarrassed today as you were on July 5, 2018. #KremlinEight https://t.co/ofdW6cB4kf"
"California, USA",2021-07-31,3,0,"We will all need to take part,  however we can,  in making this pandemic stop. The future of public health will require grassroots efforts where public health agencies can’t go."
"West Virginia, USA",2021-07-26,0,0,"@ElizabethKlave3 I’m doing fine!!!!! 🖕🏻Democrats,you too CDC"
"Detroit, MI",2021-07-17,15446,4100,"Heckuva job, Ron

White House: Florida accounts for 20 percent of all new COVID-19 infections https://t.co/xx14Lt529k"
"Elkhorn, NE",2021-07-30,1,0,"@dustmop2306 @FFHitman @kwesburner The mortality rate from the vaccine is significantly lower than the perceived insignificant mortality rate from covid. So if you don't fear covid, you shouldn't fear the vaccine"
"Los Angeles, CA",2021-07-24,8,6,"Among Fully Vaccinated, Breakthrough Covid-19 Infections Are More Common Than Previously Thought: Does It Matter? https://t.co/9pfqSxDKes"
"Hamburg, NY",2021-07-27,302,390,"วันนี้เราเป็นตัวแทนมอบ ชุด CPE หน้ากาก N95 จากพี่ๆ @Sathorn171 @NK_asecond ที่ร่วมบริจาคให้กับ “ สำนักงานสาธารณสุขอำเภอศรีสัชนาลัย จังหวัดสุโขทัย ” ที่กำลังขาดแคลนอุปกรณ์ทางการแพทย์ ในนามของ หยิ่น อานันท์ และ วอร์ วนรัตน์ ขอบคุณผู้ใจบุญทุกท่านด้วยนะคะ
#yinyin_anw #warwanarat https://t.co/5DA5jYMmW8"
"Brooklyn, NY",2021-07-11,5050,1215,South Korea has suffered fewer covid deaths than Palm Beach County https://t.co/NtPAZJzkut
"Fort Worth, Texas",2021-07-26,1842,833,"Everyone 12 and older is now eligible for COVID vaccines. So say ""Yes"" to getting your family back out there. #WeCanDoThis"
"New York, USA",2021-07-19,3531,3728,"Pemberian suntikan vaksin menerusi Program Imunisasi Covid-19 Kebangsaan adalah percuma, dibeli dan ditanggung sepenuhnya oleh kerajaan.

Kalau ada orang cuba jual slot vaksin di bawah PICK, u boleh buat laporan polis."
"Detroit, MI",2021-07-24,78189,13081,Someone mentioned that maybe the “pandemic babies” are excelling so rapidly b/c parents are actually home to raise and nurture them and now they got me thinkin🤔 b/c that definitely makes sense.
"Washington, DC",2021-07-16,0,0,#Publichealth pros: are you looking for communication resources to support vaccine decisions in your community? Take a look at these tailored tools and vetted resources from the Vaccine Equity Cooperative: https://t.co/35BH08H0k3
"Orlando, FL",2021-07-28,184538,29547,Half of you questioning Simone Biles’ “toughness” can’t even wear a mask for five minutes in Starbucks. Have a seat.
"Fargo, ND",2021-07-29,433,253,小池都知事は「ステイホーム率が上がっている」としていますが、その根拠は何でしょう。外には人がたくさんいるのですが…。https://t.co/umixjcdMoz
"Florida, USA",2021-07-11,6,6,"Protests have erupted all over #Cuba 🇨🇺 today as anger is growing with the government's mishandling of the pandemic.

Thousands of protesters are marching in the major cities like #Havana, but also in smaller towns. #SOSCuba #PatriaYVida https://t.co/4oAitXrRhy"
"San Antonio, TX",2021-07-21,37432,13365,"An Alabama doctor on treating unvaccinated patients who are dying of Covid-19, and consoling their families afterward. https://t.co/a0BPJewjPB https://t.co/PYsjMvGyMM"
"Portland, OR",2021-07-14,10322,5406,Trump hid in a bunker as America's economy collapsed and hundreds of thousands died due to his malicious handling of COVID. This is why we made this video last June and why we call him #BunkerBoyTrump. https://t.co/77v9lg8yUW
"Conway, AR",2021-07-21,321,167,"Reporter: “There are children, skinny people who have died of the coronavirus…”

Marjorie Taylor Greene: Laughs

625,000 dead Americans due to @GOP incompetence. This is the Republican Party of yesterday, today, and tomorrow.

@RepMTG @mtgreenee #COVID19 
https://t.co/5TY4xl9o9b"
"North Dakota, USA",2021-07-30,11,4,"@PaulSorrentino3 The Democrats stopped being the ""lesser evil"" a LONG time ago. https://t.co/h0v5RzusCe"
"charleston, sc",2021-07-22,5,1,this is a hell demon wearing the stolen flesh of a person https://t.co/1wY6U5DiYM
"SF Bay Area, California",2021-07-31,8,0,"I'm impatient. I just want this pandemic to end and have life go back to normal again.

I'm not the only one."
"Tulsa, OK",2021-07-17,15,5,It's at untold levels😂😂 https://t.co/r4H1Tc4IZS
"Glassboro, NJ",2021-07-01,80,59,"Re-electing @ChuckGrassley is tantamount to drinking spoiled milk past its expiration date. He doesn't care abt domestic terrorism, America's gun violence pandemic, global warming or agricultural monopolies destroying the livelihoods of small farmers.
#FreshVoicesRise
#ONEV1 https://t.co/kGB3J1M9hr"
"Ojai, CA",2021-07-28,2493,1673,"BREAKING NEWS:
Covid-19 in Arkansas:
24 children have been admitted to UAMS HOSPITAL in Little Rock. 
Seven of the children are in the ICU.
Four children are on ventilators.
None were vaccinated."
"Tennessee, USA",2021-07-12,24,6,yikes https://t.co/qWfhu8QCX0
