tweet_id,location,date,likes,retweets,text
1298104752555741186,"Vancouver, HK, LA",2020-08-25,44902,11661,"RNC video praising Trump on the virus omitted all the times he said it would disappear, his praise of China’s handling of Covid, pushed states to reopen prematurely, and encouraged Americans to inject themselves with disinfectants."
1295443533332197376,"Chesapeake, Virginia",2020-08-17,1,5,"The Greenbrier Library, located at 1214 Volvo Parkway, is closed until further notice to allow for deep cleaning due to a staff member having tested positive for COVID-19."
1293621119241588736,"Detroit, MI",2020-08-12,238,63,"The Trump Administration's @fema has pledged over $40 million to Arizona to purchase PPE including masks, gloves, and face shields to help stop the spread of the Coronavirus. Thank you, President @realDonaldTrump!"
1289678135089172482,"Tupelo, MS",2020-08-01,9655,2862,"Common sense is sometimes the most important thing in medicine.

It is clear that absolutely no common sense has been used in the handling of COVID-19."
1299788521239187465,"Brooklyn, NY",2020-08-29,0,0,girls it’s a pandemic what the hell lmfao https://t.co/Buvc3tf4so
1297412782933958669,"Las Vegas, NV",2020-08-23,115589,44799,arresting teachers who are demanding safe conditions for their students and themselves feels dystopic at best https://t.co/jdySa7vDFQ
1295500349739077633,"New Jersey, USA",2020-08-17,66960,13377,College before COVID-19 was everything
1299864261519433728,"Aptos hills, CA",2020-08-30,1,0,"Note to Biden: America are you better off now than when I left office? 30 million unemployed, 5 million with Covid and 180,000 dead? Are enemies emboldened and are allies laughing at us? This is a referendum on Trump. Say no to his exhausting stunts and dangerous policies."
1293322093489082368,"Haleiwa, Hawaii",2020-08-11,0,0,@realDonaldTrump https://t.co/cRqfOZ0lMf
1293615918136926209,"Sioux Falls, SD",2020-08-12,9,9,"Soccer will have a fall season with restrictions due to COVID-19. Coaches Ben Levahn of Maple Grove and Jason Barnhouse of Park Center share their thoughts.
@mggirlssoccer @MGActivities @PCPirateSoccer @PCSHActivities 

https://t.co/NwHWRJxvdv"
1296872268132421632,"Lakewood, Ohio",2020-08-21,4,4,"@OHdeptofhealth Ohio 7-day average COVID-19 testing positivity rate is now at 4%, the lowest its been in more than 2 months &amp; below the recommended maximum of 5%. https://t.co/TdcdItzOwX"
1295519318550040576,"Ozark, Mo",2020-08-18,0,0,2 (2) https://t.co/sjGOJBOItC
1295948228471353345,"California, USA",2020-08-19,19623,2477,THIS THIS THIS THIS THIS https://t.co/oFKdX4wYmr
1298943549413756929,"Philadelphia, PA",2020-08-27,134,14,"If there’s anything this pandemic and the godawful Trump administration full of billionaire grifters ought to teach us, it’s to burn the Economix for Dummmies and Desperate Cities playbook from the 1990s and figure out a modern city that centers people and life."
1293634138642305025,"Texas, USA",2020-08-12,0,0,"@joski1386 @AP You're complaining, but you support the 4th democratic house $3 trillion covid relief bill.
God youre stupid"
1290564928148054017,"K T Boundary, TX",2020-08-04,596,466,"THIS JUST IN: #Mexico has overtaken the U.K. for THIRD most confirmed #COVID19 deaths globally.

The official count climbed by almost 700 on Friday from a day earlier to reach nearly 47,000.

Only the U.S. and #Brazil have more.

Grim way to end the work week... https://t.co/SuMvOj5fnp"
1292342440473460737,"Kansas City, MO",2020-08-09,320,87,Footballers who deliberately cough towards an opponent could receive a red card under new Covid-19 guidelines published by the English Football Association https://t.co/ER9OzWvQrz
1299732217091026944,"Columbus, Ohio",2020-08-29,313102,43961,We have a president more interested in beating people at golf than beating COVID-19.
1300537858982318080,"Deep Ellum, Texas",2020-08-31,1,0,"@ramoncarden @dwbakke That will happen, but...the playing field isn't exactly level with the pandemic. I think it's trying to find the best option in a very bad situation."
1292668958487859200,"Orlando, FL",2020-08-10,42555,16894,Pay attention. Donald Trump is using the pandemic as cover to defund Social Security and Medicare in the middle of the worst economic crisis since the Great Depression.
1299215204668944384,"Rohnert Park, CA",2020-08-28,248,142,"Trump said, ""We developed a wide array of effective [COVID-19] treatments, including a powerful anti-body treatment known as Convalescent Plasma that will save thousands of lives."" The effectiveness of the treatment is unknown. https://t.co/eIn6dibm2r #RNC2020"
1295147898720718853,"Boston, MA",2020-08-16,485,35,"There are no plans to stage another #UCL finals tournament in the future, despite the stunning drama of the last week’s quarter-finals.

The outcome of the single-legged quarter-finals in Portugal would not force a rethink unless the pandemic intervened again

[@ben_rumsby] https://t.co/77XRhTZ1t0"
1294346139051995136,"Houston, TX",2020-08-14,2,2,Ive been home with my baby for three weeks because of COVID. I GOT PAID LESS THAN $200.00 even though time off is suppose to be paid for covid. how tf am i suppose to pay rent and all my other bills now?
1297586963717922816,"California, USA",2020-08-23,58995,10251,"If there's going to be a class war in this country, it's time the working class won that war. We can no longer tolerate 3 billionaires owning more wealth than the bottom 50%. We must tax the obscene gains billionaires made in the pandemic and create an economy that works for all."
1299058224612737026,"Indianapolis, Indiana",2020-08-27,198,73,Our schools have been open for less then a week and there are already 222 confirmed COVID-19 cases in our schools. What will our school infection rates look like next week? The week after? We need to close our schools blended classes and prepare for 100% virtual learning.
1291380426653794306,"Cincinnati, OH",2020-08-06,1,0,Thank you @KathrineNero for partnering with us! @RC3CincyNKY @CincyChildrens https://t.co/7CG94bYdic
1290423562407378950,"North Carolina, USA",2020-08-03,9645,3782,"#BREAKING: A judge has ruled in our favor and declared the Trump administration's attempt to restrict #COVID19-based sick leave is unlawful.
 
This is a major victory for workers across New York and our entire nation. https://t.co/82MX6POKRp"
1299897507929964545,"Minneapolis, MN",2020-08-30,2,1,"@GingerFritzie @MNUFC And to think, they almost had me on board during the COVID Cup..."
1297914144520364032,"Columbus, OH",2020-08-24,245155,43883,This pandemic filler arc wack af. They starting to repeat plot points. https://t.co/U6lyDzkr7l
1292552717282549760,"New York, NY",2020-08-09,1263,352,"That feeling of stress, anxiety and anger you get when you see people posting their reckless behavior during the pandemic? Eating out, hanging out, partying w/o masks? 

That’s how disabled people feel whenever you fail to check for accessibility or ignore disability.

Welcome."
