location,date,likes,retweets,text
"Portland, OR",2020-11-09,0,0,This has nothing to do with COVID though 😂😂 https://t.co/NGI7afNLi3
"New York, USA",2020-11-22,7,0,"@LexEtAmor @markpoloncarz @TheBuffaloNews @news4buffalo @WKBW @SPECNewsBuffalo @NewsRadio930 @WBFO @BeeNewspapers @BfloBizFirst @ECDOH Wake up.  Hair salons or nail salons only allow a few people at a time and by appointment only !!! Close small businesses but Galleria mall stays open ??? Yep makes sense. No tracing!! No proof Covid coming from gyms , hair or nail salons or restaurants!!!"
"Edinburg, TX",2020-11-19,408088,29789,Scott disick be like oh covid’s 19? 🧐
"Los Angeles, CA",2020-11-03,29,4,Pretty late in ride for Birx to try to get off. She’s warning against Trump’s campaign events on November 2?  https://t.co/mHYwzfx3QA
"Washington, DC",2020-11-23,8,0,"According to our survey, 77% of people say the pandemic will impact their holiday plans at least to some extent. How are you adapting your holiday traditions this year? https://t.co/yPfhLkJbL8 https://t.co/rML6zSQbDC"
"Portland, Oregon",2020-11-06,0,0,We believe you. sir🤔😖😑💕 https://t.co/jcr9LJrpW6
"Mississippi, USA",2020-11-15,222,22,"""The immediate priority for Democrats and the incoming Biden-Harris Administration first must be a comprehensive covid relief that really meets the scale and scope of this crisis.""
https://t.co/FiaiGaUWvC"
"Seattle, WA",2020-11-24,2025,875,Mitch McConnell held up COVID relief because he demanded companies like Publix be made nearly immune from lawsuits when they put employees at risk. https://t.co/IFKWGDCPx6
"Missouri, USA",2020-11-17,2054,66,"@TheBlondeRN If each ICU nurse is able to convince one patient per day this is really a bad virus then we should be able turn the corner on misinformation about COVID in about 15,000 years"
"Washington, DC",2020-11-17,1,0,"If you've traveled recently, you may have noticed how different the coronavirus seems to be felt in different parts of the country, especially in rural vs. urban areas. 

Two Reason editors who both recently moved across the country discuss the urban/rural red/blue COVID divide. https://t.co/CKPbu2UTsU"
"Atlanta, GA",2020-11-16,297,201,"Please help by sharing this and then contacting your MLA's &amp; MP's immediately!

We need to stop this in its track
#RejectTheGreatReset https://t.co/8toZaLXV48"
"Philadelphia, PA",2020-11-18,9650,3351,This is terrifying. https://t.co/PGLVKJ98Ks
