location,likes,text,date
"New York, New York",68839,"RT @arotherham: Here's the article if you haven't seen:

https://t.co/jty9gJq6qy",1/3/2009
"Staten Island, NY",489,Go get ‘em Liz! https://t.co/m1yFcQiO03,9/5/2012
"Southern California, USA",43409,RT @MarkAmesExiled: World’s only Superkleptocracy,8/9/2011
"Ensenada, Baja California",176281,"RT @macariomx: No entiendo la publicidad de estos vuelos. Demuestran que no estábamos preparados, y que el material es insuficiente... muy…",8/16/2017
"San Diego, CA",104,Making Remote Meetings Successful #zoom #covid19 #success https://t.co/paMmg0TF1T,4/13/2009
"Puyallup, WA",74684,"RT @CREWcrew: Trump's estimated net worth 1 month ago: $3.1 billion

Trump's estimated net worth this month: $2.1 billion
https://t.co/28cR…",2/27/2011
"Little Elm, TX",53268,"RT @ChrisMurphyCT: The federal government isn’t bailing out the states by helping to pay for pandemic expenses. 

The states are bailing ou…",9/3/2011
"Land o’the free-Cleveland,OH",113362,RT @Your_high_dose: 👏👍🙏,8/11/2012
"Rural Oregon, US",25437,RT @RossFloate: I know exactly who needs to hear this and “I don’t like the candidates so I’m not voting at all” is morally indistinguishab…,8/24/2008
"Knoxville, TN",965,What Tennessee high school coaches are permitted to do with teams during coronavirus pandemic https://t.co/0DaAaE2jqv,3/12/2007
"San Bernardino, CA",19227,RT @RiseNowUS: COVID-19 movement restrictions have spiked sexual violence across the world. @risenowus is launching “Survivor Safe Haven”:…,9/5/2016
"Bloomington, IN",30678,"RT @the_typical_lib: In the last week:

Governors everywhere have extended stay-at-home orders, curfews, pushed gun control, and oversteppe…",12/4/2012
"Juneau, AK",96762,RT @ShannonFreshour: Republican Jim Jordan is a disgrace. He voted against #COVID19 relief funding. Help me beat him. If you support a stro…,11/27/2018
"Atlanta, GA",3661,Makes sense... https://t.co/rUIMntQNFh,2/23/2010
"Alexandria, VA",30707,"RT @DrGJackBrown: Trump's behavior during this presser is a classic example of drug abuse superimposed on dementia. 

#Coronavirus #COVID19",6/20/2009
"Austin, TX",21679,@LindseyGrahamSC https://t.co/zr6O298r8C,2/26/2009
"Brooklyn, NY",209049,RT @ipostnews: Several hundred people held in Erie and Niagara county jails are there for technical parole violations or serving sentences…,8/1/2008
"Santa Rosa, CA",45842,So my mom's nursing home has 2 confirmed cases of COVID. They didn't tell the residents. They informed families via… https://t.co/TEwa0p7c58,10/21/2011
"Denver, CO",25585,@GrrlGotGame @pixelexiq1 @raising_hill @staceyabrams There are ways to take appropriate precautions &amp; necessary soc… https://t.co/rS9UlyU1s3,9/23/2009
"Chicago, IL",301777,@CDCgov @realDonaldTrump Translation: screw those people with pre -existing conditions.,5/5/2009
"Florida, NY",25735,RT @AP: The last restrictions on movement have been lifted in the central Chinese city where the coronavirus pandemic began. People are goi…,11/8/2014
"Ohio, USA",29121,"RT @maddow: ""Los Angeles County, in a major policy shift, announced that nursing homes are now advised to test all residents and staff, not…",1/4/2017
"New Mexico, USA",49212,This is beyond sad. This country needs an edema. https://t.co/sj4vRT6BJf,1/17/2020
"Philadelphia, PA",18456,"Shouldn’t it be called “physical distancing”?

“Social distance” would mean severing communication, right?",4/26/2009
"Reno, NV",18210,RT @MimawMoon: Incredibly embarrassing that the US has gone from world leader to pitiful in such a short period of time.  Will we recover?…,11/29/2019
